change_dir;change_followerGap;change_followerSecureGap;change_from;change_id;change_leaderGap;change_leaderSecureGap;change_origLeaderGap;change_origLeaderSecureGap;change_pos;change_reason;change_speed;change_time;change_to;change_type
-1;27.03;23.52;gneE0_4;174;129.78;28.45;450.50;0.00;902.73;keepRight;24.42;217.00;gneE0_3;DEFAULT_VEHTYPE
-1;23.25;13.29;gneE0_2;168;182.50;11.75;362.05;9.23;1048.67;keepRight;23.62;218.00;gneE0_1;DEFAULT_VEHTYPE
-1;133.32;29.51;gneE0_3;183;36.23;19.27;103.71;30.76;717.40;keepRight;25.69;218.00;gneE0_2;DEFAULT_VEHTYPE
-1;39.36;19.96;gneE0_2;204;124.89;27.35;122.64;7.38;170.02;keepRight;22.41;218.00;gneE0_1;DEFAULT_VEHTYPE
-1;35.13;29.92;gneE0_3;167;355.32;15.70;258.61;3.93;1132.06;keepRight;24.00;221.00;gneE0_2;DEFAULT_VEHTYPE
-1;63.64;13.86;gneE0_1;197;72.84;12.64;136.73;7.15;396.88;keepRight;22.56;221.00;gneE0_0;DEFAULT_VEHTYPE
-1;30.60;26.59;gneE0_2;189;44.44;15.06;134.26;27.21;682.05;keepRight;26.17;222.00;gneE0_1;DEFAULT_VEHTYPE
-1;29.34;25.54;gneE0_3;198;386.08;18.17;132.98;5.80;481.83;keepRight;24.54;224.00;gneE0_2;DEFAULT_VEHTYPE
-1;19.13;12.41;gneE0_1;171;116.21;26.22;131.83;28.89;1032.83;keepRight;22.54;225.00;gneE0_0;DEFAULT_VEHTYPE
-1;135.97;9.04;gneE0_3;195;247.10;32.55;207.78;27.62;647.11;keepRight;27.30;225.00;gneE0_2;DEFAULT_VEHTYPE
-1;117.01;33.75;gneE0_3;205;159.55;12.29;547.70;0.00;307.19;keepRight;22.21;225.00;gneE0_2;DEFAULT_VEHTYPE
-1;27.94;24.91;gneE0_2;154;25.35;17.97;46.57;24.81;1689.27;keepRight;25.43;226.00;gneE0_1;DEFAULT_VEHTYPE
-1;80.23;24.68;gneE0_1;204;26.06;16.24;116.06;24.48;373.69;keepRight;22.68;227.00;gneE0_0;DEFAULT_VEHTYPE
-1;66.92;13.25;gneE0_1;168;213.81;16.08;211.49;11.65;1311.86;keepRight;23.79;229.00;gneE0_0;DEFAULT_VEHTYPE
-1;17.53;4.13;gneE0_1;150;None;None;None;None;1862.77;keepRight;25.63;230.00;gneE0_0;DEFAULT_VEHTYPE
-1;66.15;10.55;gneE0_2;167;206.39;8.98;376.28;12.06;1369.78;keepRight;23.57;231.00;gneE0_1;DEFAULT_VEHTYPE
-1;10.29;5.32;gneE0_3;218;171.47;18.49;77.80;0.00;177.81;keepRight;23.44;232.00;gneE0_2;DEFAULT_VEHTYPE
-1;62.18;19.35;gneE0_2;198;151.12;13.65;172.19;9.52;747.46;keepRight;24.27;235.00;gneE0_1;DEFAULT_VEHTYPE
-1;23.31;16.51;gneE0_2;205;150.35;16.59;180.87;12.94;524.93;keepRight;22.27;235.00;gneE0_1;DEFAULT_VEHTYPE
-1;286.30;26.43;gneE0_4;203;406.97;29.53;391.31;15.13;796.10;keepRight;27.61;238.00;gneE0_3;DEFAULT_VEHTYPE
-1;25.01;19.74;gneE0_4;224;80.12;4.17;247.18;0.00;173.61;keepRight;21.11;239.00;gneE0_3;DEFAULT_VEHTYPE
-1;112.32;29.85;gneE0_4;206;171.16;19.49;567.74;18.65;676.95;keepRight;27.24;240.00;gneE0_3;DEFAULT_VEHTYPE
-1;57.71;30.60;gneE0_2;218;105.35;0.00;176.34;15.06;412.01;keepRight;22.93;242.00;gneE0_1;DEFAULT_VEHTYPE
-1;16.13;7.90;gneE0_2;230;228.82;6.76;100.23;35.44;115.48;keepRight;21.06;242.00;gneE0_1;DEFAULT_VEHTYPE
-1;50.94;26.79;gneE0_1;205;32.30;14.99;186.37;1.81;740.70;keepRight;21.42;245.00;gneE0_0;DEFAULT_VEHTYPE
-1;172.81;15.96;gneE0_4;215;33.90;23.63;70.81;29.36;586.97;keepRight;27.00;245.00;gneE0_3;DEFAULT_VEHTYPE
-1;18.22;9.87;gneE0_3;224;117.68;0.00;109.59;5.32;319.18;keepRight;21.18;246.00;gneE0_2;DEFAULT_VEHTYPE
-1;95.51;0.00;gneE0_1;194;88.02;49.27;68.33;29.36;1294.96;keepRight;26.64;250.00;gneE0_0;DEFAULT_VEHTYPE
-1;40.95;4.93;gneE0_3;213;257.55;36.78;117.98;27.19;829.56;keepRight;27.17;250.00;gneE0_2;DEFAULT_VEHTYPE
-1;24.18;8.84;gneE0_2;173;90.66;25.60;183.81;0.00;1797.87;keepRight;24.04;253.00;gneE0_1;DEFAULT_VEHTYPE
-1;65.70;32.51;gneE0_2;224;150.03;5.14;150.80;1.10;466.79;keepRight;21.18;253.00;gneE0_1;DEFAULT_VEHTYPE
-1;9.35;3.62;gneE0_3;245;207.29;0.00;112.54;0.00;74.75;keepRight;16.75;253.00;gneE0_2;DEFAULT_VEHTYPE
-1;51.97;13.09;gneE0_3;203;196.22;32.53;381.48;31.39;1276.43;keepRight;27.88;255.00;gneE0_2;DEFAULT_VEHTYPE
-1;103.19;34.54;gneE0_1;236;50.58;7.24;149.72;5.13;303.82;keepRight;22.71;257.00;gneE0_0;DEFAULT_VEHTYPE
-1;28.76;2.70;gneE0_2;247;158.08;0.00;56.29;2.68;85.43;keepRight;16.16;258.00;gneE0_1;DEFAULT_VEHTYPE
-1;29.66;25.44;gneE0_4;214;156.89;24.63;759.10;20.71;1064.90;keepRight;26.94;260.00;gneE0_3;DEFAULT_VEHTYPE
-1;101.30;41.30;gneE0_1;224;59.36;0.00;178.32;3.68;615.14;keepRight;21.28;260.00;gneE0_0;DEFAULT_VEHTYPE
-1;147.72;2.40;gneE0_3;240;90.55;22.24;211.31;14.36;369.16;keepRight;24.70;260.00;gneE0_2;DEFAULT_VEHTYPE
-1;86.84;20.55;gneE0_2;245;79.44;0.00;147.72;2.40;216.44;keepRight;20.68;260.00;gneE0_1;DEFAULT_VEHTYPE
-1;324.66;0.00;gneE0_4;238;144.51;34.03;142.17;17.77;544.30;keepRight;28.02;264.00;gneE0_3;DEFAULT_VEHTYPE
-1;27.50;24.56;gneE0_3;227;161.14;23.12;136.29;25.41;768.38;keepRight;25.49;265.00;gneE0_2;DEFAULT_VEHTYPE
-1;153.18;32.77;gneE0_2;235;63.23;22.90;136.63;32.23;618.44;keepRight;25.53;266.00;gneE0_1;DEFAULT_VEHTYPE
-1;25.79;19.64;gneE0_1;245;86.52;4.37;135.53;0.00;399.73;keepRight;20.84;269.00;gneE0_0;DEFAULT_VEHTYPE
-1;48.80;45.66;gneE0_3;248;96.22;0.00;360.08;0.00;352.06;keepRight;23.20;270.00;gneE0_2;DEFAULT_VEHTYPE
