change_dir;change_followerGap;change_followerSecureGap;change_from;change_id;change_leaderGap;change_leaderSecureGap;change_origLeaderGap;change_origLeaderSecureGap;change_pos;change_reason;change_speed;change_time;change_to;change_type
-1;77.15;14.74;gneE0_3;95;70.64;0.00;107.81;0.00;192.02;keepRight;20.91;110.00;gneE0_2;DEFAULT_VEHTYPE
-1;24.32;0.00;gneE0_2;101;373.28;0.00;78.43;0.00;48.22;keepRight;11.81;111.00;gneE0_1;DEFAULT_VEHTYPE
-1;24.47;0.00;gneE0_3;53;167.47;44.72;33.99;37.82;1432.96;keepRight;29.09;114.00;gneE0_2;DEFAULT_VEHTYPE
-1;107.60;35.25;gneE0_1;87;86.18;20.98;123.28;17.51;524.32;keepRight;23.94;115.00;gneE0_0;DEFAULT_VEHTYPE
-1;120.07;6.36;gneE0_3;70;145.95;28.89;404.29;17.47;1024.11;keepRight;26.56;116.00;gneE0_2;DEFAULT_VEHTYPE
-1;11.76;4.95;gneE0_1;44;64.63;48.58;31.40;31.04;1738.25;keepRight;26.26;117.00;gneE0_0;DEFAULT_VEHTYPE
-1;168.73;42.76;gneE0_2;95;359.06;8.06;114.78;0.00;335.30;keepRight;20.04;117.00;gneE0_1;DEFAULT_VEHTYPE
-1;27.34;14.44;gneE0_2;82;116.58;29.99;44.22;30.46;754.29;keepRight;24.21;118.00;gneE0_1;DEFAULT_VEHTYPE
-1;73.53;20.91;gneE0_4;90;39.70;22.58;76.12;28.65;594.72;keepRight;27.21;118.00;gneE0_3;DEFAULT_VEHTYPE
-1;29.95;24.68;gneE0_3;92;59.93;37.79;74.10;23.61;542.88;keepRight;26.68;119.00;gneE0_2;DEFAULT_VEHTYPE
-1;58.69;22.16;gneE0_3;72;27.46;17.75;629.43;0.00;912.41;keepRight;22.59;120.00;gneE0_2;DEFAULT_VEHTYPE
-1;98.75;11.22;gneE0_4;99;236.91;21.63;81.82;5.62;461.23;keepRight;25.72;122.00;gneE0_3;DEFAULT_VEHTYPE
-1;132.27;37.08;gneE0_3;100;50.01;9.00;98.75;11.22;357.48;keepRight;23.30;122.00;gneE0_2;DEFAULT_VEHTYPE
-1;245.81;13.76;gneE0_4;49;None;None;None;None;1976.98;keepRight;30.11;123.00;gneE0_3;DEFAULT_VEHTYPE
-1;25.77;20.34;gneE0_4;78;27.84;13.21;None;None;971.33;keepRight;23.22;125.00;gneE0_3;DEFAULT_VEHTYPE
-1;114.78;41.33;gneE0_3;83;90.56;8.92;59.67;19.94;875.88;keepRight;22.22;125.00;gneE0_2;DEFAULT_VEHTYPE
-1;256.47;3.96;gneE0_2;63;149.46;42.27;179.38;43.54;1476.10;keepRight;27.01;126.00;gneE0_1;DEFAULT_VEHTYPE
-1;21.72;18.86;gneE0_1;75;64.16;32.78;79.38;22.17;1085.18;keepRight;23.87;127.00;gneE0_0;DEFAULT_VEHTYPE
-1;117.65;37.14;gneE0_2;67;54.71;30.88;46.43;23.08;1132.08;keepRight;23.72;128.00;gneE0_1;DEFAULT_VEHTYPE
-1;31.23;26.78;gneE0_3;56;None;None;None;None;1925.08;keepRight;28.42;130.00;gneE0_2;DEFAULT_VEHTYPE
-1;94.91;1.67;gneE0_2;70;174.20;36.99;141.82;28.37;1430.02;keepRight;27.66;131.00;gneE0_1;DEFAULT_VEHTYPE
-1;32.17;27.29;gneE0_4;102;135.03;14.35;249.59;0.00;556.59;keepRight;23.81;131.00;gneE0_3;DEFAULT_VEHTYPE
-1;20.25;0.00;gneE0_2;98;398.76;33.14;170.88;25.60;669.97;keepRight;25.94;132.00;gneE0_1;DEFAULT_VEHTYPE
-1;207.85;22.03;gneE0_2;92;184.33;36.94;45.39;24.69;908.03;keepRight;25.86;133.00;gneE0_1;DEFAULT_VEHTYPE
-1;156.50;3.65;gneE0_2;114;168.06;3.49;93.36;0.00;279.52;keepRight;23.66;133.00;gneE0_1;DEFAULT_VEHTYPE
-1;55.44;0.00;gneE0_3;120;246.34;0.00;81.13;12.42;155.35;keepRight;23.47;134.00;gneE0_2;DEFAULT_VEHTYPE
-1;156.99;18.31;gneE0_3;115;90.14;0.00;169.09;10.82;340.71;keepRight;24.38;135.00;gneE0_2;DEFAULT_VEHTYPE
-1;50.19;9.98;gneE0_3;58;None;None;None;None;1998.95;keepRight;27.78;136.00;gneE0_2;DEFAULT_VEHTYPE
